21075,21075
20788,20788
18256,18256
17490,17490
15129,15129
13066,13066
13044,13044
12313,12313
10529,10529
9345,9345
9232,9232
9121,9121
9108,9108
8714,8714
8370,8370
8222,8222
7979,7979
7927,7927
7677,7677
7616,7616
7430,7430
7296,7296
7222,7222
7187,7187
7155,7155
7017,7017
6935,6935
6837,6837
6453,6453
6440,6440
5920,5920
5567,5567
5554,5554
5405,5405
5315,5315
5195,5195
5192,5192
5173,5173
5127,5127
5085,5085
5079,5079
5031,5031
4994,4994
4956,4956
4902,4902
4741,4741
4716,4716
4635,4635
4626,4626
4614,4614
4539,4539
4425,4425
4412,4412
4384,4384
4280,4280
4258,4258
4169,4169
4135,4135
4108,4108
4077,4077
4003,4003
3990,3990
3955,3955
3932,3932
3924,3924
3914,3914
3913,3913
3908,3908
3895,3895
3880,3880
3869,3869
3783,3783
3764,3764
3739,3739
3715,3715
3710,3710
3693,3693
3661,3661
3654,3654
3584,3584
3519,3519
3486,3486
3482,3482
3455,3455
3430,3430
3416,3416
3400,3400
3386,3386
3349,3349
3348,3348
3330,3330
3325,3325
3269,3269
3258,3258
3236,3236
3220,3220
3159,3159
3150,3150
3133,3133
3094,3094
3084,3084
3058,3058
3024,3024
3020,3020
2993,2993
2986,2986
2915,2915
2895,2895
2878,2878
2808,2808
2807,2807
2795,2795
2736,2736
2733,2733
2729,2729
2674,2674
2670,2670
2634,2634
2629,2629
2613,2613
2602,2602
2597,5194
2586,2586
2584,2584
2570,2570
2569,2569
2560,2560
2542,2542
2504,2504
2486,2486
2371,4742
2361,2361
2324,2324
2317,2317
2277,2277
2271,2271
2222,2222
2196,2196
2188,2188
2140,2140
2126,2126
2124,2124
2108,2108
2107,2107
2101,2101
2094,2094
2085,4170
2080,2080
2079,2079
2069,2069
2055,4110
2052,2052
2039,2039
2022,2022
1999,1999
1996,1996
1969,1969
1951,1951
1935,1935
1934,1934
1929,1929
1924,1924
1900,1900
1881,1881
1862,1862
1845,1845
1843,1843
1840,1840
1837,1837
1822,1822
1813,1813
1807,1807
1773,3546
1769,1769
1749,3498
1744,1744
1735,1735
1726,1726
1725,1725
1715,1715
1713,1713
1711,1711
1709,1709
1685,1685
1682,1682
1681,1681
1674,1674
1664,3328
1630,1630
1625,1625
1620,1620
1619,1619
1603,1603
1602,1602
1576,1576
1559,3118
1552,1552
1549,1549
1546,3092
1522,1522
1512,1512
1509,1509
1496,1496
1478,1478
1473,1473
1462,1462
1459,1459
1455,1455
1445,2890
1444,1444
1438,1438
1433,1433
1430,1430
1407,1407
1406,1406
1404,1404
1402,1402
1398,1398
1396,1396
1381,1381
1373,1373
1365,1365
1359,2718
1351,1351
1331,1331
1327,1327
1320,1320
1319,1319
1315,1315
1313,2626
1308,1308
1302,1302
1296,1296
1282,2564
1277,1277
1265,1265
1264,1264
1252,1252
1250,1250
